,Municipios,Sexo,Periodo,Total
0,16,Total,2023,197.139
1,16,Total,2022,195.215
2,16,Total,2021,195.516
3,16,Total,2020,196.139
4,16,Total,2019,196.329
5,16,Total,2018,197.222
6,16,Total,2017,198.718
7,16,Total,2016,201.071
8,16,Total,2015,203.841
9,16,Total,2014,207.449
10,16,Total,2013,211.899
11,16,Total,2012,218.036
12,16,Total,2011,219.138
13,16,Total,2010,217.716
14,16,Total,2009,217.363
15,16,Total,2008,215.274
16,16,Total,2007,211.375
17,16,Total,2006,208.616
18,16,Total,2005,207.974
19,16,Total,2004,204.546
20,16,Total,2003,202.982
21,16,Total,2002,201.614
22,16,Total,2001,201.526
23,16,Total,2000,201.053
24,16,Total,1999,200.963
25,16,Total,1998,199.086
26,16,Total,1997,
27,16,Total,1996,201.712
28,16,Hombres,2023,99.137
29,16,Hombres,2022,98.029
30,16,Hombres,2021,98.118
31,16,Hombres,2020,98.43
32,16,Hombres,2019,98.542
33,16,Hombres,2018,98.999
34,16,Hombres,2017,99.821
35,16,Hombres,2016,101.097
36,16,Hombres,2015,102.583
37,16,Hombres,2014,104.586
38,16,Hombres,2013,107.111
39,16,Hombres,2012,110.46
40,16,Hombres,2011,111.052
41,16,Hombres,2010,110.384
42,16,Hombres,2009,110.282
43,16,Hombres,2008,109.058
44,16,Hombres,2007,106.633
45,16,Hombres,2006,105.068
46,16,Hombres,2005,104.912
47,16,Hombres,2004,102.947
48,16,Hombres,2003,102.04
49,16,Hombres,2002,101.048
50,16,Hombres,2001,100.63
51,16,Hombres,2000,100.126
52,16,Hombres,1999,100.088
53,16,Hombres,1998,99.031
54,16,Hombres,1997,
55,16,Hombres,1996,100.387
56,16,Mujeres,2023,98.002
57,16,Mujeres,2022,97.186
58,16,Mujeres,2021,97.398
59,16,Mujeres,2020,97.709
60,16,Mujeres,2019,97.787
61,16,Mujeres,2018,98.223
62,16,Mujeres,2017,98.897
63,16,Mujeres,2016,99.974
64,16,Mujeres,2015,101.258
65,16,Mujeres,2014,102.863
66,16,Mujeres,2013,104.788
67,16,Mujeres,2012,107.576
68,16,Mujeres,2011,108.086
69,16,Mujeres,2010,107.332
70,16,Mujeres,2009,107.081
71,16,Mujeres,2008,106.216
72,16,Mujeres,2007,104.742
73,16,Mujeres,2006,103.548
74,16,Mujeres,2005,103.062
75,16,Mujeres,2004,101.599
76,16,Mujeres,2003,100.942
77,16,Mujeres,2002,100.566
78,16,Mujeres,2001,100.896
79,16,Mujeres,2000,100.927
80,16,Mujeres,1999,100.875
81,16,Mujeres,1998,100.055
82,16,Mujeres,1997,
83,16,Mujeres,1996,101.325
84,16001,Total,2023,61.0
85,16001,Total,2022,60.0
86,16001,Total,2021,57.0
87,16001,Total,2020,61.0
88,16001,Total,2019,65.0
89,16001,Total,2018,64.0
90,16001,Total,2017,66.0
91,16001,Total,2016,77.0
92,16001,Total,2015,77.0
93,16001,Total,2014,80.0
94,16001,Total,2013,83.0
95,16001,Total,2012,81.0
96,16001,Total,2011,76.0
97,16001,Total,2010,73.0
98,16001,Total,2009,80.0
99,16001,Total,2008,77.0
100,16001,Total,2007,78.0
101,16001,Total,2006,88.0
102,16001,Total,2005,84.0
103,16001,Total,2004,88.0
104,16001,Total,2003,89.0
105,16001,Total,2002,85.0
106,16001,Total,2001,83.0
107,16001,Total,2000,85.0
108,16001,Total,1999,85.0
109,16001,Total,1998,88.0
110,16001,Total,1997,
111,16001,Total,1996,93.0
112,16001,Hombres,2023,38.0
113,16001,Hombres,2022,37.0
114,16001,Hombres,2021,35.0
115,16001,Hombres,2020,37.0
116,16001,Hombres,2019,40.0
117,16001,Hombres,2018,39.0
118,16001,Hombres,2017,40.0
