Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-03-16 21:00","29865","30603","29934",
"2024-03-16 21:05","30025","30959","29934",
"2024-03-16 21:10","29969","31079","29934",
"2024-03-16 21:15","29973","30963","29634",
"2024-03-16 21:20","29769","30747","29634",
"2024-03-16 21:25","29772","30567","29634",
"2024-03-16 21:30","29670","30423","29234",
"2024-03-16 21:35","29499","30295","29234",
"2024-03-16 21:40","29515","30162","29234",
"2024-03-16 21:45","29249","30025","28934",
"2024-03-16 21:50","28995","29844","28934",
"2024-03-16 21:55","28741","29577","28934",
"2024-03-16 22:00","28710","29226","28292",
"2024-03-16 22:05","28446","28880","28292",
"2024-03-16 22:10","28174","28628","28292",
"2024-03-16 22:15","27982","28470","27802",
"2024-03-16 22:20","27821","28344","27802",
"2024-03-16 22:25","27824","28187","27802",
"2024-03-16 22:30","27448","27998","27292",
"2024-03-16 22:35","27045","27805","27292",
"2024-03-16 22:40","27210","27635","27292",
"2024-03-16 22:45","27078","27489","26792",
"2024-03-16 22:50","27120","27323","26792",
"2024-03-16 22:55","26893","27092","26792",
"2024-03-16 23:00","26334","26796","26021",
"2024-03-16 23:05","26515","26506","26021",
"2024-03-16 23:10","26212","26292","26021",
"2024-03-16 23:15","26136","26155","25520",
"2024-03-16 23:20","25862","26045","25520",
"2024-03-16 23:25","25737","25916","25520",
"2024-03-16 23:30","25424","25768","25030",
"2024-03-16 23:35","25312","25616","25030",
"2024-03-16 23:40","25150","25476","25030",
"2024-03-16 23:45","24997","25347","24820",
"2024-03-16 23:50","24550","25213","24820",
"2024-03-16 23:55","24737","25059","24820",
"2024-03-17 00:00","24676","24885","24450",
"2024-03-17 00:05","24763","24710","24450",
"2024-03-17 00:10","24418","24552","24450",
"2024-03-17 00:15","24473","24413","24150",
"2024-03-17 00:20","24433","24281","24150",
"2024-03-17 00:25","24219","24144","24150",
"2024-03-17 00:30","24211","24002","23673",
"2024-03-17 00:35","24103","23862","23673",
"2024-03-17 00:40","23624","23728","23673",
"2024-03-17 00:45","23522","23600","23343",
"2024-03-17 00:50","23271","23470","23343",
"2024-03-17 00:55","23052","23328","23343",
"2024-03-17 01:00","22929","23175","22757",
"2024-03-17 01:05","22941","23023","22757",
"2024-03-17 01:10","23076","22888","22757",
"2024-03-17 01:15","22660","22769","22341",
"2024-03-17 01:20","22819","22658","22341",
"2024-03-17 01:25","22693","22544","22341",
"2024-03-17 01:30","22361","22429","22342",
"2024-03-17 01:35","22380","22318","22342",
"2024-03-17 01:40","22230","22217","22342",
"2024-03-17 01:45","22073","22127","21927",
"2024-03-17 01:50","22174","22032","21927",
"2024-03-17 01:55","21849","21919","21927",
"2024-03-17 02:00","21916","21789","21544",
"2024-03-17 02:05","21920","21663","21544",
"2024-03-17 02:10","21830","21565","21544",
"2024-03-17 02:15","21584","21495","21344",
"2024-03-17 02:20","21566","21437","21344",
"2024-03-17 02:25","21512","21376","21344",
"2024-03-17 02:30","21758","21312","21264",
