"","X","family","father","mother","sex","height","nkids"
"1",1,"1",78.5,67,"M",73.2,4
"2",2,"1",78.5,67,"F",69.2,4
"3",3,"1",78.5,67,"F",69,4
"4",4,"1",78.5,67,"F",69,4
"5",5,"2",75.5,66.5,"M",73.5,4
"6",6,"2",75.5,66.5,"M",72.5,4
"7",7,"2",75.5,66.5,"F",65.5,4
"8",8,"2",75.5,66.5,"F",65.5,4
"9",9,"3",75,64,"M",71,2
"10",10,"3",75,64,"F",68,2
"11",11,"4",75,64,"M",70.5,5
"12",12,"4",75,64,"M",68.5,5
"13",13,"4",75,64,"F",67,5
"14",14,"4",75,64,"F",64.5,5
"15",15,"4",75,64,"F",63,5
"16",16,"5",75,58.5,"M",72,6
"17",17,"5",75,58.5,"M",69,6
"18",18,"5",75,58.5,"M",68,6
"19",19,"5",75,58.5,"F",66.5,6
"20",20,"5",75,58.5,"F",62.5,6
"21",21,"5",75,58.5,"F",62.5,6
"22",22,"6",74,68,"F",69.5,1
"23",23,"7",74,68,"M",76.5,6
"24",24,"7",74,68,"M",74,6
"25",25,"7",74,68,"M",73,6
"26",26,"7",74,68,"M",73,6
"27",27,"7",74,68,"F",70.5,6
"28",28,"7",74,68,"F",64,6
"29",29,"8",74,66.5,"F",70.5,3
"30",30,"8",74,66.5,"F",68,3
"31",31,"8",74,66.5,"F",66,3
"32",32,"9",74.5,66,"F",66,1
"33",33,"10",74,65.5,"F",65.5,1
"34",34,"11",74,62,"M",74,8
"35",35,"11",74,62,"M",70,8
"36",36,"11",74,62,"F",68,8
"37",37,"11",74,62,"F",67,8
"38",38,"11",74,62,"F",67,8
"39",39,"11",74,62,"F",66,8
"40",40,"11",74,62,"F",63.5,8
"41",41,"11",74,62,"F",63,8
"42",42,"12",74,61,"F",65,1
"43",43,"14",73,67,"M",68,2
"44",44,"14",73,67,"M",67,2
"45",45,"15",73,66.5,"M",71,3
"46",46,"15",73,66.5,"M",70.5,3
"47",47,"15",73,66.5,"F",66.7,3
"48",48,"16",73,65,"M",72,9
"49",49,"16",73,65,"M",70.5,9
"50",50,"16",73,65,"M",70.2,9
"51",51,"16",73,65,"M",70.2,9
"52",52,"16",73,65,"M",69.2,9
"53",53,"16",73,65,"F",68.7,9
"54",54,"16",73,65,"F",66.5,9
"55",55,"16",73,65,"F",64.5,9
"56",56,"16",73,65,"F",63.5,9
"57",57,"17",73,64.5,"M",74,6
"58",58,"17",73,64.5,"M",73,6
"59",59,"17",73,64.5,"M",71.5,6
"60",60,"17",73,64.5,"M",62.5,6
"61",61,"17",73,64.5,"F",66.5,6
"62",62,"17",73,64.5,"F",62.3,6
"63",63,"18",73,64,"F",66,3
"64",64,"18",73,64,"F",64.5,3
