,salario
0,32449.03458506173
1,20378.312323142178
2,9813.302821600171
3,20715.679745621725
4,19724.77884360763
5,12635.427422227924
6,3879.4895666117955
7,21527.68543881308
8,26106.8690251632
9,12611.854473676038
10,5226.183606185077
11,29330.652655253078
12,23553.08343277135
13,20502.273324500165
14,18079.19711936549
15,23587.33600123157
16,11189.410390082257
17,17382.601481930433
18,26840.141697749015
19,24066.81256142172
20,24460.46605620222
21,15206.25932251378
22,11967.050380759778
23,27384.459474647614
24,21662.983754854846
25,11143.668706832032
26,8287.339556485525
27,17887.540281558537
28,19930.163960131973
29,6630.231375028574
30,27969.05662880132
31,11542.132394076893
32,22638.300083279704
33,16349.112358032005
34,24289.68696062643
35,11174.532275016518
36,21837.07982960708
37,427.8533417293984
38,22517.501475997324
39,29039.262142756277
40,15342.382552416604
41,21570.69886914004
42,24505.827583564722
43,11871.980098749686
44,11199.490194266189
45,7095.838545042375
46,10572.942986483813
47,5526.342465821197
48,23863.68922433939
49,5712.505302326583
50,5033.711916510325
51,16359.447248755101
52,19682.22338998809
53,2125.7785498836347
54,25448.508218417566
55,9049.89321227582
56,6670.505018654792
57,16201.110449881042
58,1440.5330825857782
59,4521.376374908101
60,19432.126403864466
61,23707.6288864531
62,8177.968010150819
63,17194.14146746136
64,1544.876307652392
65,7140.395586598897
66,6248.459994046007
67,10660.600324248422
68,26065.569405584363
69,3464.806014388869
70,19302.606522469057
71,14200.285516456117
72,10132.215106869888
73,1386.859087345394
74,26325.39609966096
75,22112.126482790845
76,12550.192681357765
77,4807.4011427789665
78,14322.406710895786
79,22240.211703224973
80,9984.84205408869
81,18220.172755518102
82,23845.811587802607
83,18116.66054618884
84,571.9712192448533
85,22676.367392950913
86,23279.602079541844
87,14678.551100068396
88,19267.25083183664
89,3491.113384957678
90,11695.268359283891
91,18379.024057294708
92,7607.82233316416
93,14098.965428122448
94,14555.73172173894
95,755.48005346219
96,15043.653080026992
97,33709.27097079353
98,23301.487267941113
99,13020.238822966618
100,18074.585414226545
101,36.45121593753356
102,13865.650421416743
103,11966.425834778587
104,14774.553179816412
105,14184.068405016184
106,7679.726907039403
107,5838.783905471713
108,21662.56477807824
109,11559.327754272512
110,22697.260028145516
111,4940.903242276148
112,9119.468310252854
113,19063.29078971145
114,26494.96386655489
115,15797.406621516651
116,16320.5438446082
117,5587.160364794083
118,16676.453105255565
119,6144.465224879061
120,2899.466281709214
121,17345.95788529021
122,17231.717262715356
123,8290.400784921781
124,23152.323788947597
125,24467.030250996355
126,6401.379122290666
127,27014.787150130403
128,20372.771250653535
129,10826.256560311358
130,16156.848338761383
131,21758.838184013024
132,3749.491730123271
133,5132.278881307906
134,19794.658770383707
135,11140.750396466985
136,29733.718688663714
137,27413.36247021977
138,8714.173328407396
139,11090.783868103723
140,15763.022565726811
141,12569.011078211723
142,2110.657605879711
143,15392.386435826162
144,3761.282151233818
145,11515.442911375048
146,22831.64102980365
147,6059.2795739321045
148,13924.156201001704
149,1735.2611426550357
150,8319.047033372433
151,4728.716490318024
152,887.4622572739063
153,6854.8133952632725
154,5560.476376634197
155,5198.160410024619
156,3886.843101987257
157,17411.541123185565
158,21344.209686281632
159,8385.16763666546
160,17625.870400315373
161,16151.226119774017
162,9933.629368644011
163,12557.449525287026
164,1019.0755564582687
165,14331.125150430073
166,15638.083139995642
167,12586.371299410057
168,6090.4617072966685
169,34249.14187851575
170,12516.551738754466
171,6374.392992464853
172,13831.733648613263
173,11094.94995315512
174,18465.905812155746
175,17732.36752830018
176,12084.328212933568
177,25219.380778451006
178,12753.821192367852
179,22342.038375987548
180,10962.644335164441
181,7520.049271127293
182,25577.31521134203
183,10839.867612249676
184,12042.52385327761
185,16826.372207803444
186,23933.515292389944
187,13688.81648086451
188,28663.559291554244
189,3650.7021314251397
190,13159.047334217901
191,33298.00294063127
192,16814.242416516663
193,18148.554572556088
194,28561.24385384722
195,23246.63060189553
196,26887.022425396208
197,17337.519942818046
198,12095.590223501771
199,12986.694881549636
200,25942.545829134702
201,16192.172386061964
202,30450.77901381844
203,18435.73112942937
204,28993.868191918904
205,9703.378516002818
206,9897.205046173061
207,23049.648103061274
208,10220.14690411418
209,18361.649863818307
210,18355.806905888436
211,2334.6421678898096
212,8731.635907718926
213,22850.312809041876
214,21195.30345461082
215,16819.242409703173
216,4081.4409666069823
217,13094.780269129868
218,15093.046678472625
219,18852.261123670047
220,8403.120675073229
221,663.3880075099405
222,9982.69047210908
223,582.2171504198632
224,22123.001641481056
225,4930.186249727354
226,42763.59734522297
227,30880.086383610807
228,35114.997688092975
229,10675.85574538745
230,35130.30344686242
231,20217.263029647536
232,18974.389136769005
233,11065.272459000498
234,21115.423973376255
235,27268.469580857367
236,2236.238700306172
237,6316.850127068228
238,3265.61962929113
239,16173.826960531496
240,23412.999472403564
241,16230.085131590466
242,5151.228285934329
243,7009.476562100819
244,17336.240757179694
245,7967.278085695017
246,15569.662191111642
247,9807.26810972061
248,18152.83515029701
249,26879.367558500642
250,8875.908702039307
251,17435.774936382222
252,17134.18975036675
253,13050.02701721943
254,8320.922835847292
255,7797.506263761611
256,12046.317961259316
257,4263.190706606063
258,15245.54758092109
259,767.3740150054527
260,2083.5325717679807
261,6735.584068775197
262,964.3759429083984
263,6295.065802544908
264,25492.70530804782
265,9228.297306840817
266,20805.404556150494
267,22327.65967459153
268,10693.95863091878
269,9662.779174572162
270,20078.891527629523
271,10426.191796352332
272,14683.118350038205
273,18851.894431769833
274,27526.584904744166
275,13931.897817303266
276,13575.68870933348
277,20104.494935954684
278,8317.085921252543
279,23577.55857386455
280,14779.405862054524
281,14067.189356997615
282,18246.641374431696
283,20746.369556467056
284,5586.985031282344
285,11787.533293238197
286,2732.1759425483997
287,23483.918467590207
288,16493.344700349327
289,17208.82161879163
290,4425.059305010556
291,4209.912458216753
292,24215.137112671768
293,28295.591464595855
294,22972.091468199098
295,10345.890191121807
296,7126.448997191963
297,10022.560779364525
298,6204.868990733476
299,123.74540215911475
300,18294.213656775977
301,13311.00139296765
302,15408.616764702458
303,17495.47675847505
304,15115.165026517256
305,21803.802873258923
306,28267.58022999957
307,8904.602438768252
308,32123.25861224735
309,3533.3885637188214
310,13336.446205783606
311,16726.143873161574
312,14459.313270429413
313,10852.995195932435
314,4921.234370118122
315,16431.580340410932
316,5634.378136039644
317,23967.93431307986
318,26832.352484430732
319,7129.2641515533305
320,16780.70655879335
321,24479.12582681884
322,19506.012284781184
323,9187.481495171298
324,20643.95669636482
325,6672.846535762164
326,23335.286213890016
327,32342.907153211625
328,2764.3161455000445
329,20025.808592210768
330,11930.562064421272
331,10079.667177918667
332,22822.228830673575
333,12612.239564938292
334,24196.299302215102
335,20801.479637235214
336,25170.478373022423
337,23943.48931948821
338,11928.16696384884
339,8782.85289622399
340,19039.538740060474
341,14181.062658700286
342,13961.686407094958
343,20593.883135386848
344,28118.62652483907
345,15988.33522913644
346,16033.725950402124
347,1203.3615264779892
348,17017.40125260414
349,2048.401217391238
350,17240.448978533797
351,18002.528551923788
352,23145.941037823515
353,26548.91513421687
354,25362.96992308621
355,20490.509184394774
356,9470.684250556755
357,13859.880589206992
358,8053.046020772501
359,16335.584029140635
360,19971.53708099222
361,28658.572164951307
362,23541.375742544486
363,29574.904581247232
364,16054.024372738151
365,14557.224725125494
366,5194.63842548018
367,17455.681647640246
368,18095.222881835703
369,7184.786369566931
370,24356.95902359039
371,29040.32346830702
372,5671.22703914333
373,23510.9771849069
374,10544.304537909808
375,23850.749710909637
376,6433.436191534549
377,22895.821308132363
378,460.0276706069144
379,17425.715659247162
380,11848.385231773023
381,21363.284811828467
382,8155.010292209384
383,1320.2776084487286
384,13553.134457097749
385,20485.208479942212
386,19925.021396631542
387,20445.77018027882
388,17580.14014571706
389,9370.098592118913
390,8732.837016461704
391,31628.41657464097
392,7373.41855002553
393,12667.493086303355
394,13032.391213605797
395,11704.905031839895
396,26631.670411300714
397,10755.528987709207
398,25525.950605698446
399,15731.658600559578
400,11316.885004909866
401,12526.470592416468
402,11626.884252740234
403,21963.692586042416
404,5095.092513920477
405,26484.50096763259
406,24550.279242400953
407,22225.370900877082
408,15579.868949233336
409,8721.022120122285
410,7481.315024888061
411,2526.982500692391
412,26139.828562576397
413,19223.09055413225
414,17540.49515504163
415,26366.263972840654
416,14579.185514730234
417,26777.02733353527
418,12104.789638461156
419,15507.5515560013
420,19316.312414713775
421,1712.6840526911074
422,10927.371588777407
423,18360.90597312769
424,8604.765551654142
425,3054.1819874730063
426,11963.437365232747
427,18438.07098348088
428,17704.232034198536
429,8080.266726985422
430,1879.3712495889522
431,15184.966065605631
432,20010.259198182637
433,40964.32947583348
434,25344.785947466342
435,21368.234733449608
436,19723.940628063352
437,7196.980241003479
438,2891.6267717301944
439,26522.240437711895
440,19521.871680349814
441,7131.903642387238
442,44318.901282517705
443,5744.880503620039
444,8234.809272943137
445,10266.96512759968
446,13451.747560685542
447,11113.783201823671
448,24520.04775097901
449,11825.800234601575
450,21862.12134953592
451,8139.955363022249
452,6873.685363483622
453,8904.006849331072
454,9200.53323045504
455,8679.204622124707
456,11869.678942907736
457,8997.814025084306
458,7620.568654636717
459,17317.047897921148
460,27203.673687895465
461,18044.10217280912
462,18462.03163583195
463,15432.582841780008
464,26436.284760139708
465,27175.327054067344
466,16944.391204523134
467,8411.076226873001
468,24632.591935765166
469,19750.113901671248
470,21521.96281341308
471,14472.99329896096
472,12774.976759891819
473,16215.75451051056
474,9722.546208953223
475,22204.16623061828
476,17353.933049918345
477,12055.82547768013
478,15469.752656368784
479,41562.50321986643
480,17424.06571655735
481,10377.470318831009
482,18086.858475794972
483,16384.869862245498
484,11940.853524543874
485,6501.016910600612
486,6294.40650385484
487,10442.882110162396
488,24269.110963430252
489,23991.778573091353
490,23476.933991376794
491,7593.286568513128
492,9524.517179695566
493,14019.141418993022
494,19360.254858755314
495,30297.148413323903
496,22461.32888368725
497,22046.086088892047
498,12148.724405517789
499,7214.463537068471
500,4719.770805615224
501,18247.47004879275
502,18337.474702590574
503,16650.376908547085
504,1442.941365428329
505,16212.34727020765
506,5579.865632496083
507,830.6726013635416
508,14908.377469549563
509,24069.28627448104
510,8023.425554004979
511,14622.257884184128
512,22688.685959241608
513,8968.041601586126
514,25554.81566263311
515,10860.323388534864
516,16789.904718985774
517,13010.631120466485
518,15532.208466979804
519,7740.930303235634
520,25418.98244505153
521,21348.811630892094
522,7839.369382072778
523,25433.533749082486
524,10104.951792665433
525,19877.849214418828
526,5625.865547851541
527,12706.498624396123
528,8119.946395454866
529,21268.91963694798
530,10414.77526795493
531,23493.22005931144
532,22115.386049515077
533,2427.260711519528
534,9546.086200434725
535,1765.3132650828684
536,16670.37965934141
537,24718.318729510793
538,14889.340636340823
539,21483.51467773717
540,2751.897917216549
541,13309.825145963772
542,26259.102618646477
543,20810.885665880094
544,9632.30327983153
545,10818.696275266364
546,13298.754846789288
547,24364.000261816283
548,16648.892766468125
549,22434.422906694082
550,15490.13197112215
551,14984.050108164387
552,19590.300150426036
553,24940.03897033973
554,11802.738505156361
555,3264.9120433647186
556,8146.684449389083
557,10531.947590019478
558,29029.23038369861
559,28688.686342312238
560,6372.580470053552
561,36533.758292944585
562,17379.316928932993
563,33253.16820513151
564,20292.74990777605
565,8136.279168666528
566,16045.587309261153
567,15972.482871632012
568,10864.471794828194
569,28185.400982633444
570,13464.947070424558
571,17809.67263480384
572,15415.735514574963
573,15961.905856985159
574,32224.81074760648
575,1429.8750292425357
576,27076.243088006493
577,19180.821962281225
578,31571.22780562858
579,28815.273678133002
580,11159.616057092891
581,13750.080402006004
582,5970.256358313438
583,1520.206935480026
584,15957.127809686483
585,417.05800221057143
586,12285.894268048633
587,8448.881019235141
588,10343.453468884378
589,28952.87057512274
590,31085.52084018512
591,10252.670815172944
592,11425.29128116791
593,11861.122269684714
594,13340.96132575518
595,6102.381643474524
596,23989.442897524983
597,13952.588738150564
598,4017.067109538144
599,42679.288327808135
600,13510.393810021127
601,18443.734739748845
602,10899.396529051599
