,salario
0,8124.566331592843
1,29111.198029291212
2,23118.39459161235
3,20965.88000200738
4,20811.12510115696
5,16406.673912443435
6,22940.377759133877
7,24577.34774389487
8,30379.090316466423
9,26812.107912622978
10,25014.65461819544
11,6956.7827854345305
12,10499.296441339164
13,29300.83855648597
14,23549.260832847707
15,19878.448286832954
16,14870.035103415346
17,25134.339119904667
18,4629.671297676814
19,14717.718064773011
20,25017.430620465275
21,14611.948711449291
22,18883.248471488016
23,9408.370367110423
24,25324.24676755916
25,31243.26791208615
26,25462.900699122718
27,10154.685573813982
28,23446.60886829829
29,8435.066219765537
30,26976.127352819254
31,25264.455103451808
32,23052.116623583996
33,18095.86339699768
34,29678.41763617634
35,16504.97151663618
36,6031.410021760728
37,20143.759643471814
38,11905.73921204394
39,14779.798577714442
40,22800.448468651728
41,7977.447692910138
42,21969.383796817114
43,5606.687559921027
44,25969.17490415112
45,26877.039580207093
46,24298.17797939418
47,19507.4515856905
48,34633.194442296444
49,17811.690732394945
50,5688.671105850339
51,29273.00046617098
52,6953.025497977118
53,15672.31246256118
54,18721.345838484765
55,17363.158620073656
56,16610.03302038119
57,14392.158492808017
58,30541.76421246286
59,8401.616605370666
60,31810.439262480126
61,11697.634592243488
62,28402.96684414684
63,28376.85547876351
64,14210.570277329913
65,16624.262073678543
66,18710.035234432497
67,1104.4896407537817
68,104.93888029197478
69,16789.97725217748
70,16716.52568411299
71,30510.392640245234
72,8958.060818001992
73,17027.70771970811
74,451.8026942050128
75,15961.162295100346
76,3879.908290723004
77,21213.907113640624
78,13867.42186367435
79,10470.020735893428
80,40659.56064624133
81,17394.548537863946
82,9316.865782094239
83,4694.979219519695
84,6654.6406260658405
85,19916.90489486082
86,25152.369254476158
87,34223.88010925522
88,26611.86721129326
89,17369.92004358139
90,14095.574085595283
91,28943.46350477106
92,29901.350720230177
93,13039.770813061892
94,6022.618589728978
95,5064.644009643731
96,15706.080245144569
97,29074.93710644934
98,9414.165425101262
99,14925.889160681883
100,13370.985366308101
101,39334.16453539353
102,26147.083962153865
103,18630.509760225665
104,21946.81234038368
105,26875.930613198063
106,20208.952648370898
107,21631.13360447064
108,21561.06127849041
109,40605.41188437912
110,22128.78631938891
111,29777.435254781274
112,25615.028586480632
113,25937.28021493487
114,36849.75680258604
115,23801.796161923518
116,22344.99963251196
117,23259.709101937882
118,34731.73437371825
119,29218.985714439157
120,36525.89223221416
121,8185.378453086258
122,27491.665940902916
123,9902.281359627445
124,24013.87444604027
125,36030.82510010501
126,11162.032995456011
127,12189.598199937414
128,22940.819243682672
129,7894.174338942446
130,15902.831934012516
131,31861.880727489504
132,22015.377179248928
133,33061.909851625256
134,30531.904707945112
135,15564.631477827614
136,31778.132770132106
137,31761.223254556953
138,6449.555208239282
139,35927.932150597095
140,2219.2176698363073
141,24634.49288889359
142,21521.348172434406
143,12899.953602585094
144,17854.438649109234
145,17696.564322757906
146,7156.076393143021
147,10656.165693467487
148,4867.856034842236
149,13053.790818515881
150,30877.768910070576
151,18479.16469794457
152,35678.93748822988
153,29307.772117194283
154,11350.352887414903
155,8617.160087392444
156,16684.776173611797
157,21936.496885675093
158,8597.307983368912
159,22384.39200011085
160,6150.305157820016
161,28336.555773354616
162,28964.955162265385
163,19811.808623694295
164,20020.99844495509
165,16632.621036355114
166,26011.64555762747
167,17414.859634889322
168,14032.0620809086
169,15779.402437062654
170,13225.318135809997
171,33627.41657009249
172,21891.278545802248
173,16698.074745473863
174,14322.777475398525
175,18897.021992655566
176,22601.06522484045
177,22618.343629394436
178,17244.394127417963
179,26945.08149932876
180,9823.710806647716
181,9843.185562320343
182,9452.96104249956
183,15305.953357182843
184,7362.572393171287
