,salario
0,51558.44887619391
1,31020.307528731828
2,36171.27086552889
3,50337.96700007524
4,58155.40626883214
5,27021.97655099679
6,52194.6013866587
7,39628.19777967733
8,35203.636526198134
9,54685.616334492166
10,29624.120536577742
11,36760.70988703731
12,24879.543635396443
13,19766.506909952022
14,38337.24787576821
15,39517.740412458086
16,56014.2216860769
17,42876.05479444948
18,30469.421719974373
19,41626.02443235705
20,39578.173990680094
21,54387.45640524584
22,29586.45989349301
23,47399.51096706406
24,37122.706644605816
25,36708.83722441608
26,37411.00371585695
27,37206.04036472501
28,43206.270163074594
29,34261.03907861293
30,25351.734071680796
31,40070.7886348003
32,41412.7252354042
33,37041.37729204442
34,21593.88455878826
35,33266.653210528624
36,36078.226019646056
37,56077.33115658649
38,53085.11330016855
39,42567.41783669157
40,42799.11610767028
41,39566.83531484212
42,45050.39874811626
43,41778.951714822135
44,41205.14665440038
45,41125.54325357836
46,55221.718745344595
47,24249.954752451966
48,33062.05436989559
49,34765.07978513225
50,42307.794480459226
51,52934.55819927171
52,32057.6089327547
53,24230.801460601266
54,32158.640330055077
55,47584.355936055676
56,39632.339393492075
57,39942.41696661933
58,52300.23664925809
59,47558.85059623049
60,42205.072391815724
61,41033.26702219386
62,46384.658848534964
63,52983.30906618814
64,46158.24548346526
65,34722.22238879373
66,49410.055507990764
67,36749.320191599385
68,44594.88693903515
69,43652.23165005853
70,45135.26709678516
71,34986.60515661705
72,48564.55775806967
73,41674.217551856964
74,61119.53032523267
75,40265.21729372458
76,38397.12419812248
77,61018.29806332555
78,54869.93808370081
79,42319.670691088744
80,51122.64122888031
81,33330.83933267897
82,50054.85701638933
83,30343.234626591646
84,24794.359115789193
85,35828.80083316428
86,39606.25210552136
87,28516.288533577506
88,59683.60910287644
89,54625.73855534829
90,38838.30112346744
91,23290.669496869163
92,36766.3493842688
93,49651.919359882566
94,45955.213079424124
95,35001.47232825894
96,38392.56411980128
97,21047.416573960196
98,55303.562192588426
99,40661.37183912212
100,56416.93040221217
101,41817.20801948734
102,45829.43452916083
103,46831.02174210461
104,39010.25158196165
105,59789.12836275708
106,32093.578876518415
107,37254.13194025202
108,48636.33849045637
109,41892.12340101439
110,47037.847488775704
111,47196.87678736311
112,27495.52601114319
113,29886.662683332383
114,18553.63020785675
115,45865.89449606119
116,45615.163504763106
117,58489.45105826904
118,45046.93235828931
119,38478.46107517246
