,salario
0,38161.75134410913
1,66494.86611188967
2,56748.60258139042
3,57018.115903860395
4,35456.47525922736
5,34494.2397845687
6,44115.68500651042
7,38050.18040747849
8,53473.410841133285
9,43523.65519980549
10,56666.49350602521
11,49515.1673646798
12,46252.75145018619
13,36983.93745986616
14,43804.635813233006
15,21611.38119771317
16,40346.76718379278
17,46409.327574688316
18,30405.553040500068
19,37148.91424721622
20,59297.17864603948
21,46121.52901171822
22,47501.23254541995
23,54307.345997515375
24,48042.71886829726
25,37970.16081939707
26,45092.60468392258
27,61695.587678749274
28,44308.54020496352
29,50255.94508893364
30,41460.861225194654
31,39423.34765352414
32,58559.42969182391
33,51715.13289429313
34,44764.77115494551
35,56690.7561099344
36,47464.83430722787
37,42795.31838275938
38,23016.97101237572
39,60497.70972386714
40,42966.32170172467
41,37773.10001722667
42,19088.94551328276
43,47743.217039679315
44,46308.25460386997
45,56722.71825054701
46,47687.61066720422
47,42264.63565381073
48,52900.70641366071
49,41494.65076678043
50,52599.708764292096
51,48894.49517243569
52,35853.18897708887
53,41370.660693091886
54,39022.99233964247
55,30948.78318824723
56,51106.47835963098
57,37995.877477813476
58,49473.82203847709
59,63407.13494531767
60,58552.97489903926
61,37487.291055800415
62,54261.715986450545
63,35421.386324116655
64,62223.690027005454
65,37542.77797239865
66,51552.49690314634
67,41285.15368691135
68,56248.70029096651
69,40696.01981647908
70,38562.64415788981
71,58671.209469081776
72,42161.35940292292
73,25288.347665829308
74,56398.30437476373
75,39685.06668858217
76,44032.77775006227
77,41190.84107619332
78,51896.361684753414
79,54633.826478083916
80,41477.918542040774
81,31444.855301673906
82,52818.204319171855
83,35881.828387287045
84,51945.2684296085
85,42740.59946172835
86,34036.59165106279
87,38133.372202537554
88,74019.381740615
89,43295.51796245847
90,46832.287170155694
91,66870.52443714696
92,27685.207557986654
93,43109.064741051785
94,42983.233271985664
95,58255.15910943189
96,42188.3124618067
97,45379.79860544833
98,37463.814289568654
99,40365.27346455621
100,57941.29583943355
101,61261.65403425987
102,50069.88033263564
103,56199.87022985565
104,37237.08294861144
105,45815.22973124619
106,43808.74471303422
107,54291.36835190053
108,53630.09279900952
109,41123.46761749173
110,48614.37070809165
111,53855.48651469327
112,52750.835551933444
113,52690.99518492903
114,36622.48944324244
115,66969.69273061473
116,37107.073153620615
117,44547.87248671395
118,48081.62168889554
119,44945.90566086818
120,48678.010499080825
121,59000.898465527906
122,47331.03524221808
123,20404.909441785465
124,58400.42000710937
125,48737.25757142723
126,42711.29553474024
127,49362.968813179315
128,44703.01521101384
129,42382.569219324214
130,42451.6773180762
131,43795.592735885526
132,38778.94128188539
133,46080.972677883175
134,53778.37253863235
135,71208.72156298108
136,54637.917752170106
137,48336.07386246231
138,51734.568523147726
139,63230.90458218088
140,47337.20933333109
141,43707.522331554275
142,37076.547922622616
143,50612.62109809671
144,31009.574163690675
145,26071.312041506375
146,18674.81817580261
147,60247.50385830282
148,51637.484177757775
149,33792.88405828251
150,59122.90331523732
151,36121.280311074624
152,47364.62903896825
153,49058.33833454555
154,34198.711306421785
155,56290.80186509484
156,42166.46588327106
157,55020.69078335454
158,49890.562065466496
159,44379.84664354631
160,26449.74657026473
161,29836.517832435085
162,45828.78843001475
163,35335.76832103115
164,51714.9973232626
165,42843.19088416187
166,33925.22794039191
167,47754.04442764252
168,48651.86340356391
169,42140.300164496475
170,59692.73785381396
171,59784.67916957319
172,43802.41149548876
173,41290.764557652874
174,55655.264647660166
175,47973.29462908321
176,49729.03017464037
177,48707.094768009294
178,32725.56543222427
179,67838.5251677981
180,52894.62952391164
181,45720.047963017816
182,28553.614114792555
183,44755.701487066915
184,54596.80031924214
185,40561.33782239833
186,59290.302752951764
187,33345.15800373981
188,43038.73221293911
189,37472.99904359981
190,48644.77694503613
191,43070.34275358868
192,45788.691783443086
193,31027.20741943468
194,48197.25559232212
195,54626.66100787284
196,40286.97716891091
197,30965.700938272144
198,42503.87635059829
199,66809.8926923513
200,51686.77248690154
201,40590.70519578363
202,53451.00115995284
203,43626.97905571188
204,37850.49624937179
205,42414.6682781089
206,39961.919469035085
207,52441.087767449884
208,52373.28421304848
209,39472.19364152658
210,59006.35548810549
211,51180.04552338716
212,45382.764268469764
213,40389.62993725782
214,34153.4846788167
215,33598.291321089826
216,46332.48391448869
217,39723.5269847485
218,43353.702279963865
219,54970.65474697128
220,31195.444957131556
221,20958.87900144614
222,57419.136701110634
223,38609.719489375464
224,34314.56011676901
225,48441.9453998571
226,62701.99978633081
227,37898.471661669646
228,50707.46540053219
229,47444.725028914814
230,43510.38706559115
231,52366.13348588747
232,54764.68727593882
233,49703.64416678812
234,50692.36527254194
235,71712.83004544322
236,44564.829161683156
237,53182.078240427814
238,40989.67641851214
239,57284.873150493426
240,58179.85471848438
241,49778.80003444909
242,44719.447679991936
243,54792.01331826458
244,46502.82358665182
245,33680.8736796164
246,65016.66940647814
247,44164.252548995624
248,56812.98880077291
249,54413.295642280835
250,22602.29717578623
251,48698.000185003395
252,48582.062037947435
253,35742.783453052594
254,49579.05895519791
255,72207.54756428397
256,39579.03561187178
257,60914.23422374108
258,37954.28878371737
259,39384.720574213745
260,43677.37166911883
261,53743.71993362685
262,33169.62830586858
263,51525.084491401634
264,32091.560321523535
265,49011.01322367447
266,21464.484648183134
267,49074.68902353736
268,35468.83313962147
269,34397.92793563252
270,52330.935404521326
271,33266.83025315274
272,33594.67840734485
273,40500.89862787704
274,46757.693645277206
275,52448.32101380806
276,44477.792763988095
277,61617.75254998405
278,62924.55160452424
279,24436.24393278375
280,32335.887086109127
281,34475.37445312937
282,57923.20663058756
283,47725.720022703936
284,42519.24761508446
285,29583.353979032123
286,52820.61213626311
287,51335.266394610895
288,42976.38304971653
289,49351.440086897106
290,49132.901913711685
291,44665.81289975754
292,30048.87859458053
293,36865.10576089424
294,53050.11100069617
295,51001.58863475128
296,50078.94876605988
297,56191.86973325801
298,45230.41741447938
299,41341.28150598773
300,59163.59153610999
301,47527.085255511236
302,36636.21528569743
303,28007.251311965178
304,46036.20346284781
305,47736.36112970965
306,29426.583946256716
307,33297.57898778802
308,37528.826052903154
309,46095.737938381884
310,47810.93515434023
311,49961.73156415355
312,53528.89769858926
313,49378.558054264366
314,51770.20578008294
315,26110.483578027895
316,49535.33022079358
317,32297.549840112584
318,44957.60691722391
319,37164.35181386212
320,40656.749403186885
321,45401.62064972325
322,41925.83187306679
323,62600.92704807116
324,48191.91508525549
325,44535.19085480898
326,51686.40726785243
327,37954.35176408767
328,65941.34386625863
329,47927.7011984901
330,47622.350640682314
331,28075.200717619075
332,45953.057833047555
333,47988.69834005522
334,38664.77108025825
335,56430.04353502965
336,62055.20690853813
337,32552.387788056607
338,41068.21143271975
339,61792.51650888925
340,39084.39753062753
341,31822.704889302353
342,46334.12305335739
343,37840.536803698924
344,45033.23421195378
345,58083.258844919445
346,30542.359746594433
347,34877.88319317387
348,56427.451607368406
349,39045.72389706584
350,48731.95554002025
351,50311.3834615014
352,49747.47961698192
353,51163.152772219575
354,45324.37279970012
355,46311.12560528844
356,42006.599048535165
357,59508.77872747191
358,36027.327451136734
359,57830.446355290835
360,55707.871335238866
361,51725.8177575118
362,40482.72411222877
363,48360.114599907596
364,45221.988188014744
365,25049.64747152333
366,40674.87201045293
367,46789.86123937587
368,44380.14417624647
369,60557.04152133896
370,48676.27096150303
371,49704.7458174602
372,27294.478087263342
373,50189.053310591575
374,49342.94510411959
375,32152.33361246506
376,55761.051180435155
377,37506.87871070815
378,21850.04411931411
379,44715.91964169489
380,45409.83888203898
381,28196.632229719417
382,39657.59069679367
383,38465.11582424766
384,41603.254646634756
385,67682.95664359553
386,42737.075089798105
387,30737.154189567842
388,41113.86430669702
389,42563.95098873692
390,50683.957974755365
391,52422.30198862541
392,43104.626063297685
393,52413.02222650739
394,32431.94253539329
395,47569.21725760603
396,44770.940537784554
397,59292.91588503803
398,46495.34638899233
399,38568.86824110636
400,44719.44155275041
401,47273.38849282965
402,47494.64753003131
403,41604.73381786874
404,51978.43024775919
405,38914.7336531204
406,41906.411083656814
407,37225.957485051506
408,49251.19729966445
409,53202.20053964031
410,52739.02096436482
411,54544.191883222324
412,44965.759556105026
413,34589.80756890784
414,49105.38371841999
415,64662.15460134168
416,55693.54953262901
417,55184.248584860965
418,69830.14124565377
419,52675.5631700635
420,40938.52158652429
421,33470.32235684598
422,27424.285177093494
423,39049.93463149392
424,68275.84537047597
425,43004.016633313324
426,46435.26396173063
427,38153.99101257056
428,45646.6974211607
429,43296.733201248564
430,49518.9269317507
431,24589.680308526815
432,45263.03915655885
433,33442.17747066194
434,41049.241188570755
435,41719.017410320164
436,46721.97255321874
437,42332.70321181842
438,50851.27584371738
439,33435.153012356845
440,53891.264062690694
441,47747.81844995929
442,41619.55204944684
443,45885.98704487332
444,48562.18077213261
445,57224.03795443812
446,45419.41013621731
447,31508.786274412298
448,59148.62098532094
449,31322.9841308519
450,49023.91548317578
451,64402.00675291476
452,53596.95423823237
453,36803.700356557114
454,41299.292272474275
455,57780.48988222435
456,62659.93063837405
457,29386.596253123666
458,39345.23919559966
459,32514.16969603397
460,39513.56282044379
461,26490.457275188703
462,46204.92833472067
463,25767.66432679907
464,56245.625653981144
465,59762.19942272532
466,28781.906644681538
467,31889.711929798614
468,25008.37470254809
469,31785.949850031393
470,36667.92967755819
471,35958.19518818012
472,33966.677517222946
473,46174.24082945981
474,43469.93656704854
475,13233.146165989485
476,45010.08855149142
477,38091.543929835694
478,32441.70481479229
479,37516.73699776444
480,35037.004810691986
481,41247.68129058773
482,51265.73810074886
483,51776.59150306143
484,45846.417984848755
485,52757.688549657694
486,37971.404881115435
487,51411.28548378775
488,47267.48830648206
489,53652.12963313486
490,34854.47170789971
491,45459.80155410185
492,59329.96952653929
493,57551.87454813355
494,48998.38374575365
