,salario
0,14399.022961372335
1,18794.497239266777
2,40776.14455735761
3,45079.603566704274
4,42203.247919345195
5,41194.329524393026
6,21971.62002374797
7,33450.241199972705
8,16083.63776665787
9,31069.378584187507
10,36495.9093135723
11,19965.487111104856
12,25134.225410664178
13,30824.815033930226
14,20311.56990487807
15,14235.27266256158
16,20126.56981279498
17,33541.36301057995
18,16722.43073444161
19,16691.687466636595
20,26479.69221060723
21,27284.99315400517
22,27543.42550131972
23,33612.980423922796
24,22319.537081868526
25,25398.06567748236
26,35184.25332821997
27,47978.297296641394
28,55536.00088699754
29,25421.737194051086
30,28832.597884714676
31,30419.424201243964
32,44583.49160927608
33,22062.405611041144
34,42682.62050169445
35,20671.266988507545
36,21508.98184900629
37,41697.075491871336
38,18463.37073160827
39,42287.35293558685
40,37740.00935453252
41,28111.705982487365
42,34242.86597952057
43,19518.37756398636
44,22849.389079836666
45,28611.446608342798
46,42338.683590567685
47,48639.184841961294
48,23431.881226404475
49,43892.722022374306
50,24799.006416976743
51,36873.90667382832
52,32264.622371418536
53,38555.2247891576
54,30346.71734102329
55,33325.53588583905
56,30679.75459165209
57,46599.22111309125
58,29846.36694277121
59,31594.045785965125
60,31856.15012714641
61,38335.03802847795
62,40104.63409174752
63,35196.13657797762
64,25831.6334632672
65,33423.83871138694
66,31460.521648306258
67,27114.724604736075
68,33142.623131868386
69,39387.39338947556
70,32594.84909534548
71,41088.201027786374
72,23502.598657277405
73,34710.79649265283
74,27087.230417462997
75,37340.69227022902
76,35051.08074755543
77,28794.282850506723
78,18272.111055694622
79,36866.526608691645
80,11341.287298094681
81,28568.037513009134
82,13738.630296229961
83,41469.92591145821
84,47616.362017969914
85,25522.661151789627
86,25250.672057020427
87,15849.534435965012
88,31329.34537303381
89,19510.853151229305
90,34630.13925180582
91,41069.2668584185
92,33288.320718667266
93,43808.273848497876
94,33165.0903973913
95,22177.93682423528
96,42784.69508383769
97,7138.6654514358925
98,22439.866525780228
99,44052.68841007157
100,19638.27583877256
101,22764.453782000433
102,41028.514666691815
103,27878.30242400725
104,25614.4981669805
105,34753.4902652856
106,44174.087198982335
107,31523.74391436721
108,16456.575957458994
109,32185.135559233808
110,22254.87427202146
111,30088.418223673707
112,13365.36984599492
113,31604.63020742497
114,31645.293742231952
115,9507.93224511059
116,47494.94468704275
117,23770.25697053232
118,43452.802008374456
119,20986.620808558713
120,36455.99787921937
121,35778.58556901051
122,28774.648201958073
123,41576.73906895888
124,52701.36811885034
125,47099.39028454744
126,48348.515773276464
127,32165.524608473188
128,42314.120815080525
129,24497.014494114363
130,32495.31949478285
131,34258.086970108285
132,20725.450941159117
133,1266.7073940095725
134,28964.193918243585
135,23382.091524740146
136,27498.73259372854
137,29635.39627621574
138,47181.53360392317
139,17497.563605487172
140,36868.80585090478
141,24655.395995135463
142,36478.544355063226
143,39238.59209212661
144,21842.959029426704
145,21259.24123759623
146,36310.64893417832
147,25984.148160385063
148,33515.67977930515
149,35274.469728723525
150,11884.640516564355
151,24932.862898259697
152,27543.73182060367
153,31868.621273294655
154,61479.18385741311
155,25715.379906082555
156,35414.19296989064
157,17268.84077653133
158,24744.930537550943
159,35826.22857445068
160,19148.215480670005
161,15311.222770755607
162,18647.395981184876
163,35177.40863607994
164,36508.36158762751
165,17297.821151979315
166,32897.5478200039
167,35342.55063329864
168,34363.563517282484
169,24132.65423091236
170,26984.03443121816
171,26704.169172867365
172,25084.326489165454
173,21518.260772671136
174,49816.16818211044
175,25791.567374790917
176,35210.80264916788
177,18969.684575364063
178,24023.451205646565
179,36185.64217180046
180,35171.8418835397
181,37305.70415348065
182,36439.739362084234
183,34188.38967384484
184,36266.56104751802
185,23669.90571387422
186,31081.411678761007
187,20121.026146935452
188,39996.787367632336
189,40821.46455382111
190,17696.398525422286
191,9477.082791827444
192,22690.736227593366
193,29959.596278414992
194,47154.064767361924
195,25853.204828414004
196,28772.403963352655
197,29541.71233827946
198,40972.857906680336
199,40063.037276385294
200,52995.2100813546
201,19539.684602425543
202,39244.224482608304
203,43334.339239881214
204,21803.522901199
205,21914.37867388491
206,19703.580102359912
207,27747.011918279302
208,30536.40683071018
209,23533.47442529
210,31139.776065454138
211,39805.39075631923
212,12363.379567964002
213,26103.393347858837
214,34017.14045598733
215,21797.458506122886
216,36545.9228938063
217,26590.59801081282
218,31815.17679288398
219,23761.21771780459
220,24480.405380299857
221,33277.050941050875
222,31765.03590361042
223,37852.5514428844
224,22142.905496764557
225,30156.754846259326
226,40274.099330076104
227,29967.449068927206
228,17825.94137621102
229,55291.05873460806
230,56606.46208268966
231,42803.75540954782
232,20737.381093506723
233,26328.319119260545
234,46908.499016612666
235,29205.21978024169
236,7557.378512195766
237,29084.472808290066
238,49309.947631048984
239,30989.77034108587
240,31640.075551221576
241,33298.543356256145
242,34774.7804974009
243,25104.370085092465
244,29659.69457525326
245,18951.75883301015
246,34484.34038091463
247,39012.15536199005
248,33542.87930589017
249,39297.38462840055
250,38279.0510626692
251,53759.14548102069
252,33333.78656907386
253,26456.213143738532
254,21813.973483890724
255,26518.66544141301
256,41744.18812055594
257,34424.94571627918
258,36708.64451778554
259,28267.04039448339
260,37189.74044346011
261,32289.54511808874
262,14899.34004434027
263,41956.86204295718
264,14676.781524050293
265,30022.374103262933
266,23645.566165302844
267,37185.25452742515
268,31073.408219979552
269,28834.77284455392
270,29810.650657182003
271,27959.931736568848
272,12236.361204721616
273,49241.01754976159
274,10854.911200649494
275,34338.39008043918
276,35698.16045586276
277,28701.72254103673
278,22220.54410122846
279,45659.37304601893
280,26940.213628540943
281,13208.720527356585
282,34394.954314660485
283,40342.24998144686
284,18878.297667275445
285,31199.369922509224
286,42895.0301598067
287,26339.044442217793
288,33147.73428318508
289,50832.515369166664
290,31785.245604969154
291,58845.018493950614
292,42709.44880305934
293,20950.423206868632
294,17530.45785837694
295,44904.902296073735
296,39739.50793867237
297,37063.54353020162
298,34020.40545794139
299,41168.53999017661
300,38806.67910075587
301,13174.514601753355
302,29338.896640398678
303,40651.19824771773
304,28742.67923615402
305,28635.649022737358
306,22256.33146631044
307,11601.84618415754
308,25006.931997080963
309,42532.64160503304
310,25185.50476826213
311,37484.22250078744
312,18923.5644901403
313,27615.563674075882
314,47012.98563096476
315,17857.403378675263
316,13437.57314428267
317,23203.060961354386
318,22722.17847891725
319,43264.136247038485
320,39728.076522153446
321,43111.15423943829
322,13855.926803530363
323,16011.699256384589
324,28932.753669080776
325,19095.862370481675
326,43129.87070687617
327,24745.976613752915
328,27434.985532105202
329,21666.24700647488
330,42443.56020012651
331,31544.721465236897
332,32427.033800739053
333,37004.194193047035
334,59775.83566988115
335,22030.787504658187
336,35431.246882183186
337,13425.85044634144
338,18500.14671722748
339,24986.128102878865
340,36568.12428941509
341,21240.84185700528
342,36364.12114753974
343,43894.67642253812
344,29090.07814275658
345,45546.33910610469
346,40524.3157759211
347,27465.04380296614
348,10713.547086475322
349,26341.451308055097
350,23363.471101957646
351,18519.50497982726
352,21107.666912926725
353,33006.69392533709
354,25769.177702279452
355,33978.979867803704
356,25400.120707961752
357,30599.730702512185
358,20823.661387057342
359,34197.35515815508
360,17630.141713023728
361,33798.713515472096
362,28655.05012064053
363,28448.158297796155
364,34757.043156340274
365,43869.16829381981
366,32581.33297159164
367,22254.881014676357
368,28226.449242887385
369,28915.444396845694
370,28096.92415424794
371,37823.478583291755
372,44383.59576134937
373,43483.516981983106
374,41016.051444623794
375,35624.893985973846
376,20958.44522722099
377,32623.386987225946
378,21271.600944099744
379,10271.23878305696
380,30123.128073258213
381,37192.123826545714
382,24565.592578721018
383,25196.770287879608
384,19711.410253579324
385,41711.04701023899
386,15250.215624766814
387,30183.2907115763
388,50922.71275141091
389,16086.905069236296
390,5549.704791226439
391,37988.55796307646
392,35468.209008312864
393,11744.315914705156
394,50855.974839549686
395,9375.782750787494
396,23010.071009736635
397,26502.374880169813
398,32749.412552252106
399,32427.48311964771
400,20092.9397702872
401,27120.629503114564
402,42040.5135104687
403,54977.83963123515
404,29630.70481212736
405,32608.707587201294
406,39722.06421141047
407,35680.003739217325
408,21064.838303149518
409,13904.224410959596
410,39819.79054635612
411,14078.396469920877
412,20369.95879350067
413,40893.0232639343
414,25137.46584048347
415,29872.746495184525
416,27227.48921837903
417,33833.10388627784
418,18481.42727938921
419,36658.8947511271
420,30676.168649478524
421,25010.68011145902
422,18632.316754328298
423,32030.075296062052
424,35514.48493948916
425,39508.8584040138
426,24261.659431723518
427,29250.444570595573
428,35831.10949643043
429,21007.86300694153
430,22903.955056836552
431,21258.55627545206
432,8488.813624525752
433,39336.0874219621
434,21795.27737972347
435,28631.023909430824
436,36525.09983150804
437,33904.11389045982
438,49781.89216041991
439,19153.05869032992
440,8537.064194227769
441,21363.686949540435
442,24801.236972701994
443,18946.83471977862
444,21944.287057885314
445,24371.67128625507
446,37749.92400085114
447,36333.49592249689
448,35960.88088538279
449,20811.32165374828
450,30873.48855804657
451,34373.75771355341
452,25062.439268095153
453,16298.900950927602
454,39147.148762772915
455,23388.009300413676
456,35729.25808166161
457,32247.692339900696
458,43871.13478311216
459,23632.653280238075
460,48214.79314704669
461,37843.15652952407
462,25238.75524515997
463,11978.295330842171
464,32874.88887645717
465,18817.435435482577
466,41335.9380698381
467,38097.92783461953
468,22663.587863142453
469,22182.67778165351
470,30403.929291548342
471,30790.299445114873
472,36067.0602172016
473,34529.87574275797
474,20596.933836283835
475,35512.46495391747
476,29077.759963892506
477,20154.94062778564
478,1124.796690826217
479,34488.88941873784
480,49581.42655825494
481,30536.26427314932
482,28204.68792221476
483,36410.62941068375
484,20052.77159318379
485,20923.166103626623
486,34387.79076048665
487,32102.644319120773
488,20212.09828317084
489,52612.75196431292
490,31014.147294863084
491,17755.906804011145
492,35096.15360744964
493,22422.640306794478
494,30022.517889413604
495,20867.964852132773
496,29210.291592410853
497,46616.214756031375
498,28797.538500077364
499,29608.143519112684
500,25705.221029559016
501,25575.92030258323
502,33607.29668287285
503,26650.511746984375
504,30224.906917105855
505,37425.34739928058
506,18688.10997583607
507,40239.458361990866
508,23449.46653855291
509,9351.226315153552
510,29172.03718077781
511,21024.00095899376
512,14677.458172586117
513,13099.453420939179
514,53194.73394989895
515,34807.47035621183
516,37626.128039551564
517,36241.982940519716
518,19275.26044486821
519,29541.98961023531
520,39750.63158396466
521,30801.428506631466
522,39967.06082530972
523,19437.323606016434
524,42112.38386287708
525,33739.7098745229
526,34619.24522835474
527,39122.281560375035
528,25107.066256065533
529,20858.28641405316
530,15478.889728310527
531,40015.14370892668
532,22734.77927843217
533,36848.23017890769
534,37419.969925285026
535,24665.168260111062
536,28686.651205773647
537,17562.841710898694
538,27321.216016131257
539,19957.957875515418
540,30465.48357699301
541,20628.492340956815
542,44616.137137297956
543,23975.02915248208
544,29984.70722330281
545,32427.37758681526
546,31670.604922342052
547,31136.12380570903
548,28452.49052403936
549,33534.571484111635
550,22749.522150062196
551,37188.67178747395
552,9505.966823791452
553,45887.91733613019
554,18014.872888318358
555,25572.900060888773
556,31204.800031522034
557,15285.35791795535
558,44615.69599632247
559,31226.701196786733
560,37422.455289283665
561,22814.09427711911
562,36284.101586844685
563,21176.47033443371
564,24474.25252396541
565,22299.385842921227
566,20707.53515529126
567,41632.897501393614
568,26808.66558191167
569,41757.424150374456
570,18372.895431560104
571,27681.320524550236
572,41679.4585647676
573,30857.540880681514
574,30129.080597999764
575,18733.871958796575
576,36524.368639771135
577,40355.27779917709
578,12053.23478842193
579,32070.944806084626
580,28733.37649701912
581,45807.47667617814
582,39771.5425761931
583,38628.91973409285
584,34571.00029985082
585,12345.34984901327
586,29930.20488059996
587,28640.400704230015
588,15738.824755485894
589,29143.187953022458
590,45136.69651468019
591,55722.25938836044
